tiempo,ps0_raw,ps0_simple,ps0_kal,ps7_raw,ps7_simple,ps7_kal,ps2_raw,ps2_simple,ps2_kal,ps5_raw,ps5_simple,ps5_kal,enc_left,enc_right
0.0,63.662,63.662,-0.9201,68.3184,68.3184,-0.4968,69.729,69.729,6.339,63.7647,63.7647,5.7968,423.02708,296.80536
0.05,61.334,62.498,5.9524,69.9839,69.1511,7.2849,66.7685,68.2488,13.0172,71.4856,67.6251,13.0562,423.429,297.20728
0.1,67.7921,64.2627,13.7219,70.2728,69.525,15.1988,68.7147,68.4041,20.0215,71.7291,68.9931,20.4347,423.83092,297.6092
0.15,65.1232,64.4778,20.77,67.0684,68.9109,22.3111,70.2363,68.8621,26.9137,69.9683,69.2369,27.2333,424.22656,298.00484
0.2,69.651,65.5125,27.8862,66.8172,68.4921,28.7898,66.5972,68.4091,32.6966,62.7215,67.9338,32.4049,424.62848,298.40676
0.25,67.9152,66.3631,33.9584,65.0479,67.8381,34.2893,69.7463,68.4126,38.3233,65.8023,68.3413,37.4769,425.0304,298.80868
0.3,62.8229,66.6609,38.4618,67.429,67.3271,39.4608,67.0418,68.4672,42.8109,64.9716,67.0386,41.7733,425.43232,299.2106
0.35,64.4786,65.9982,42.6014,70.805,67.4335,44.4494,63.3868,67.4017,46.0902,68.0802,66.3088,45.966,425.83424,299.61252
0.4,72.7602,67.5256,47.4675,66.4806,67.3159,48.0023,68.8529,67.125,49.7681,63.7312,65.0614,48.8364,426.22988,300.00816
0.45,66.5327,66.9019,50.5704,64.9405,66.9406,50.7583,64.2065,66.6469,52.1232,74.8278,67.4826,53.076,426.6318,300.41008
0.5,66.8377,66.6864,53.2345,68.6301,67.657,53.6858,60.778,64.8532,53.5442,57.3991,65.802,53.7858,427.03372,300.812
0.55,58.8951,65.9009,54.1613,59.8868,66.1486,54.7017,69.27,65.2988,56.1381,71.0982,67.0273,56.6414,427.43564,301.21392
0.6,67.0558,66.4163,56.2881,65.8905,65.1657,56.5463,72.7584,67.1732,58.8883,71.8943,67.7901,59.1653,427.83756,301.60956
0.65,61.5533,64.1749,57.1544,64.9923,64.868,57.9401,67.6414,66.9309,60.3399,67.553,68.5545,60.5563,428.2332,302.01148
0.7,71.1621,65.1008,59.4741,66.326,65.1451,59.3261,66.8273,67.455,61.4174,67.1267,67.0143,61.6475,428.63512,302.4134
0.75,65.5737,64.848,60.4814,72.535,65.9261,61.5154,54.6679,66.233,60.2952,64.8508,68.5046,62.1801,429.03704,302.81532
